"","age","hiv_infected_infants","syphilis_infected_infants","coinfected_infants","lbw_infants","healthy_infants","syph_dead","hiv_dead","bg_dead","discounted_costs"
"1",0,10870.8387061304,12241.2708736159,171.923522232165,495.866687999926,1601121.32664365,3003.56309582772,0,0,NA
"2",1,8676.33689586777,11794.4644867289,137.217232224159,477.767553887929,1542680.39822116,3003.56309582772,2229.20810027066,58905.8339434921,1950760.48748353
"3",2,8348.49643255005,11751.4750868011,132.032398863324,476.026148801693,1537057.51431027,3003.56309582772,2563.54479441255,64573.448659389,1706462.41926974
"4",3,8033.04361285178,11708.6423780489,127.04347746299,474.291090926878,1531455.12513278,3003.56309582772,2885.49384493498,70220.4056035038,1594157.99889378
"5",4,7729.51036241483,11665.9657893519,122.243065375165,472.562357128663,1525873.15598786,3003.56309582772,3195.5233261961,75846.7800709221,1489244.4725062
"6",5,7437.44629334438,11623.4447516713,117.624039665241,470.839924356554,1520311.53244695,3003.56309582772,3494.08362609072,81452.647082288,1391235.43615456
"7",6,7427.0045906909,11607.1261728045,117.458902977372,470.178894979855,1518177.1115266,3003.56309582772,3504.76669846003,83604.0476108788,1348817.69891543
"8",7,7416.57754752536,11590.8305041868,117.293998130934,469.518793646455,1516045.68719779,3003.56309582772,3515.43511134139,85752.4277096442,1307693.24704392
"9",8,7406.16514326678,11574.5577136539,117.129324800437,468.859619053441,1513917.25525348,3003.56309582772,3526.08888531579,87897.7916190762,1267822.64922777
"10",9,7395.76735736307,11558.3077690862,116.964882660846,468.201369899728,1511791.81149256,3003.56309582772,3536.72804093533,90040.1435737133,1229167.67638622
"11",10,7385.38416929097,11542.0806384096,116.800671387585,467.544044886058,1509669.35171982,3003.56309582772,3547.35259872326,92179.4878021487,1191691.26501484
"12",11,7377.24231486736,11529.3563253408,116.671907055057,467.028611231852,1508005.04993027,3003.56309582772,3555.68398645454,93857.0293384255,1155706.32153089
"13",12,7369.10943625217,11516.6460399112,116.543284675937,466.513745806148,1506342.58291363,3003.56309582772,3564.0063983774,95532.7215059132,1120807.99854637
"14",13,7360.98552355023,11503.9497666564,116.414804093732,465.999447982514,1504681.94864722,3003.56309582772,3572.31984438701,97206.5663434078,1086963.48389052
"15",14,7352.87056687725,11491.2674901289,116.28646515212,465.48571713521,1503023.14511054,3003.56309582772,3580.62433436765,98878.5658874577,1054140.95620636
"16",15,7344.76455635987,11478.5991948984,116.158267694953,464.972552639184,1501366.17028536,3003.56309582772,3588.9198781927,100548.722172366,1022309.55503156
"17",16,7330.75617021155,11456.7065053874,115.936723511242,464.085728423683,1498502.67249697,3003.56309582772,3603.25616744382,103434.999474482,990640.527619486
"18",17,7316.77450171783,11434.8555709587,115.715601870207,463.200595613802,1495644.63614747,3003.56309582772,3617.56573904035,106315.771891224,959952.54092281
"19",18,7302.81949992114,11413.0463119744,115.494901965949,462.31715098359,1492792.05082046,3003.56309582772,3631.84864393984,109191.049921848,930215.204337086
"20",19,7288.89111396114,11391.2786489486,115.274622994107,461.435391313246,1489944.90611942,3003.56309582772,3646.10493300265,112060.844045585,901399.068695695
"21",20,7274.98929307445,11369.5525025469,115.054764151851,460.555313389112,1487103.19166765,3003.56309582772,3660.33465699215,114925.164721678,873475.597106054
